idx,title,input,output,cost,time_sec
1,Mozambique rocked by killing of two prominent opposition figures,2332,1282,0.0,7.4503
2,Mozambique faces social media restrictions amid election disputes and tensions,2936,1319,0.0,6.9964
3,Mozambique ruling party calls for dialogue as opposition rejects vote result,2132,1222,0.0,7.3358
4,"Post-election protests in Mozambique leave 10 dead, dozens injured",2306,1678,0.0,8.6346
5,EU observers flag irregularities and &#039;alteration of results&#039; in Mozambique election,2944,1093,0.0,6.2431
6,"Mozambique: “Let us engage in dialogue,” says President-elect after days of opposition protest",3196,1166,0.0,6.3229
7,UN: Southern Africa faces worst hunger crisis in decades due to El Niño,3228,1121,0.0,6.4808
8,Mozambique&#039;s President urges an end to deadly protests against recent election results,2264,991,0.0,5.8416
9,Post-election violence intensifies in Mozambique ahead of SADC meeting,2444,1145,0.0,6.9305
10,Why Mozambique&#039;s election has sparked weeks of protests and a violent crackdown by police,3632,1247,0.0,6.7454
11,Mozambique President Wants Talks to End Weeks of Post-Election Unrest,3034,944,0.0,5.872
12,"Mozambique: Three More Protesters Shot Dead, Opposition Leader Declares Period of Mourning",6156,4207,0.0,22.5801
13,Mozambique: The Roots of Unprecedented Protest in Mozambique,3900,1081,0.0,6.1371
14,No Title,4602,1318,0.0,7.6597
15,10 children killed in Mozambique election protests: HRW,2826,1534,0.0,7.7787
16,Following deadly Mozambique protests NGO reports higher death toll,2314,632,0.0,3.9704
17,Mozambique's Deadly Protests - How the Country Got Here,5014,2641,0.0,14.6966
18,Damage and rebuilding after Cyclone Chido hits Mozambique,2638,1138,0.0,6.4817
19,Mozambique: Cyclone Chido Kills At Least 34 in Mozambique,2514,1937,0.0,10.2889
20,Cyclone Chido kills at least 45 people in Mozambique and leaves hundreds injured,2180,981,0.0,5.4308
21,More climate challenges ahead for Mozambique and Malawi,4328,1324,0.0,7.0265
22,No Title,2334,1195,0.0,6.7896
23,Cyclone Chido leaves 94 dead in Mozambique,2282,920,0.0,4.8132
24,Mozambique: Mondlane Threatens More Unrest,3898,1730,0.0,9.4563
25,"Mozambique: Chaos on Monday? Big Money at Stake, But Youth Can Bring Change",8018,3523,0.0,18.7171
26,Mozambique: President Assures the Country He Will Leave Office in January,3172,677,0.0,3.985
27,Mozambique: Top Court confirms disputed Frelimo election win,2382,861,0.0,5.0345
28,No Title,1902,1103,0.0,6.6868
29,Mozambique's Highest Court Upholds Victory for the Ruling Frelimo Party,3370,1447,0.0,8.1533
30,No Title,6658,2924,0.0,16.3185
31,Mozambique unrest: Hundreds flee Maputo jail amid poll protests,2660,1677,0.0,9.831
32,"Mozambique: Over 1,500 inmates escape Maputo jail after riot",2158,977,0.0,5.5292
33,21 dead as Mozambique erupts in violence after election court ruling,2640,996,0.0,6.0804
34,"1,500 escape Mozambique prison; 33 dead in post-election chaos",2472,916,0.0,5.545
35,Mozambique's major cities paralyzed by post-election unrest,3782,1920,0.0,11.192
36,Mozambique: Thousands flee to Malawi amid election unrest,2670,1351,0.0,7.6869
37,Mozambique: Mondlane announces break in election protests,2354,1624,0.0,8.7896
38,"Mozambique: Over 13,000 Mozambicans Flee to Malawi Amid Post-Election Violence",2720,899,0.0,5.553
39,Mozambique: State-Orchestrated Jailbreak - 134 Dead in 4 Days,3384,1512,0.0,8.7855
40,Mozambique: South Africa sends special envoy to help quell unrest,2244,673,0.0,3.9863
41,Exiled Mozambique opposition leader to return on January 9th,2108,1018,0.0,5.9824
42,Mozambique: Post-Election Chaos in Mozambique Sparks Mass Exodus to Malawi,3590,715,0.0,4.2706
43,Mozambique: Tensions rise as main opposition leader returns,2666,1552,0.0,8.9771
44,Daniel Chapo: Mozambique to get new president amid swirl of protest,4716,1039,0.0,6.0302
45,Mozambique: Is Cabo Delgado the latest Islamic State outpost?,4360,1162,0.0,6.8525
46,Mozambique: Chapo sworn into office amid social unrest,1780,651,0.0,3.8347
47,Mozambique: Daniel Chapo sworn in as president,2330,1370,0.0,7.7142
48,SADC must act now to save Mozambique from becoming a failed state,6028,3093,0.0,16.7608
49,Mozambique cholera: Why outbreaks have sparked unrest,2898,1086,0.0,6.4506
50,Bernadino Rafael: Mozambique's President Daniel Chapo sacks police chief accused of abuses,2844,1103,0.0,6.7375
51,Mozambique election crisis: Police accused of killing pot-banging protesters,4178,1991,0.0,11.4675
